<hes>	<hes>	a: _6	6 m _6	m _5	ej _6
A	ei1	ej _1
盗	dou6	d ow _6
目前	muk6chin4	m u: k _6 . ts i: n _4
目标	muk6biu1	m u: k _6 . b iw _1
目的	muk6dik1	m u: k _6 . d i: k _1
目的地	muk6dik1dei6	m u: k _6 . d i: k _1 . d ej _6
直	jik6	dz i: k _6
直到	jik6dou3	dz i: k _6 . d ow _3
直接	jik6jip3	dz i: k _6 . dz i: p _3
相	seung1	s 9: N _1
相信	seung1seun3	s 9: N _1 . s 9: n _3
相关	seung1gwaan1	s 9: N _1 . gw a: n _1
相处	seung1chyu5	s 9: N _1 . ts y: _5
相当	seung1dong1	s 9: N _1 . d O: N _1
相比	seung1bei2	s 9: N _1 . b ej _2
相继	seung1gai3	s 9: N _1 . g 6j _3
相隔	seung1gaak3	s 9: N _1 . g a: k _3
盼望	paan3mong6	p a: n _3 . m O: N _6
看	hon1	h O: n _1	h O: n _3
看上去	hon3seung5heui3	h O: n _3 . s 9: N _5 . h 9y _3
看出	hon3cheut1	h O: n _3 . ts 9: t _1
看到	hon3dou3	h O: n _3 . d ow _3
看嚟	hon1lai4	h O: n _1 . l 6j _4
看法	hon3faat3	h O: n _3 . f a: t _3
真	jan1	dz 6 n _1
真心	jan1sam1	dz 6 n _1 . s 6 m _1
真情	jan1ching4	dz 6 n _1 . ts i: N _4
真正	jan1jing3	dz 6 n _1 . dz i: N _3
真诚	jan1sing4	dz 6 n _1 . s i: N _4
眼光	ngaan5gwong1	N a: n _5 . gw O: N _1
眼前	ngaan5chin4	N a: n _5 . ts i: n _4
着	jeuk6	dz 9: k _6
着名	jeuk6meng2	dz 9: k _6 . m E: N _2
着重	jeuk6jung6	dz 9: k _6 . dz u: N _6
睡眠	seui6min4	s 9y _6 . m i: n _4
矛头	maau4tau4	m a:w _4 . t 6w _4
知	ji1	dz i: _1	dz i: _3
知己	ji1gei2	dz i: _1 . g ej _2
知识	ji3sik1	dz i: _3 . s i: k _1
知识	ji1sik1	dz i: _1 . s i: k _1	dz i: _3 . s i: k _1
知道	ji1dou3	dz i: _1 . d ow _3
短	dyun2	d y: n _2
石	sek6	s E: k _6
石块	sek6faai3	s E: k _6 . f a:j _3
石家庄	sek6ga1jong1	s E: k _6 . g a: _1 . dz O: N _1
石油	sek6yau4	s E: k _6 . j 6w _4
石狮	sek6si1	s E: k _6 . s i: _1
石表	sek6biu1	s E: k _6 . b iw _1
矿物质	kong3mat6jat1	k O: N _3 . m 6 t _6 . dz 6 t _1	kw O: N _3 . m 6 t _6 . dz 6 t _1
码头	ma5tau4	m a: _5 . t 6w _4
研究	yin4kau3	j i: n _4 . k 6w _3
破坏	po3waai6	p O: _3 . w a:j _6
破碎	po3seui3	p O: _3 . s 9y _3
砸下	jaak6ha6	dz a: k _6 . h a: _6
硬	ngaang6	N a: N _6
确保	kok3bou2	k O: k _3 . b ow _2
确实	kok3sat6	k O: k _3 . s 6 t _6
确认	kok3ying6	k O: k _3 . j i: N _6
碰到	pung3dou3	p u: N _3 . d ow _3	p u: N _3 . d ow _2
碰钉	pung3deng1	p u: N _3 . d E: N _1
磋商	cho1seung1	ts O: _1 . s 9: N _1
礼拜	lai5baai3	l 6j _5 . b a:j _3
礼拜一	lai5baai3yat1	l 6j _5 . b a:j _3 . j 6 t _1
礼拜三	lai5baai3saam1	l 6j _5 . b a:j _3 . s a: m _1
礼拜二	lai5baai3yi6	l 6j _5 . b a:j _3 . j i: _6
礼拜五	lai5baai3ng5	l 6j _5 . b a:j _3 . N _5	l 6j _5 . b a:j _3 . m _5
礼拜六	lai5baai3luk6	l 6j _5 . b a:j _3 . l u: k _6
礼拜四	lai5baai3sei3	l 6j _5 . b a:j _3 . s ej _3
礼拜日	lai5baai3yat6	l 6j _5 . b a:j _3 . j 6 t _6
礼物	lai5mat6	l 6j _5 . m 6 t _6
社会	se5wui2	s E: _5 . w u:j _2
祖国	jou2gwok3	dz ow _2 . gw O: k _3
祝愿	juk1yun6	dz u: k _1 . j y: n _6
神经	san4ging1	s 6 n _4 . g i: N _1
票	piu3	p iw _3
禁烟	gam1yin1	g 6 m _1 . j i: n _1
福	fuk1	f u: k _1
福州	fuk1jau1	f u: k _1 . dz 6w _1
福报	fuk1bou3	f u: k _1 . b ow _3
福气	fuk1hei3	f u: k _1 . h ej _3
福鼎	fuk1ding2	f u: k _1 . d i: N _2
离	lei4	l ej _4
离开	lei4hoi1	l ej _4 . h O:j _1
禽	kam4	k 6 m _4
禽流感	kam4lau4gam2	k 6 m _4 . l 6w _4 . g 6 m _2
禽畜	kam4chuk1	k 6 m _4 . ts u: k _1
私	si1	s i: _1
私营	si1ying4	s i: _1 . j i: N _4
私语	si1yu5	s i: _1 . j y: _5
种	jung2	dz u: N _2
种	jung3	dz u: N _3
科学管理	fo1hok6gun2lei5	f O: _1 . h O: k _6 . g u: n _2 . l ej _5
科工贸	fo1gung1mau6	f O: _1 . g u: N _1 . m 6w _6
科技	fo1gei6	f O: _1 . g ej _6
秒	miu5	m iw _5
秩序	dit6jeui6	d i: t _6 . dz 9y _6
积极	jik1gik6	dz i: k _1 . g i: k _6
积水	jik1seui2	dz i: k _1 . s 9y _2
积蓄	jik1chuk1	dz i: k _1 . ts u: k _1
称	ching1	ts i: N _1
称	ching3	ts i: N _3
称号	ching1hou6	ts i: N _1 . h ow _6
移动	yi4dung6	j i: _4 . d u: N _6
移情别恋	yi4ching4bit6lyun2	j i: _4 . ts i: N _4 . b i: t _6 . l y: n _2
稀有	hei1yau6	h ej _1 . j 6w _6
稍	saau2	s a:w _2
税	seui3	s 9y _3
稳	wan2	w 6 n _2
稳定	wan2ding6	w 6 n _2 . d i: N _6
稳定性	wan2ding6sing3	w 6 n _2 . d i: N _6 . s i: N _3
穷	kung4	k u: N _4
空	hung1	h u: N _1
空袭	hung1jaap6	h u: N _1 . dz a: p _6
穿	chyun1	ts y: n _1
穿透	chyun1tau3	ts y: n _1 . t 6w _3
突出	dat6cheut1	d 6 t _6 . ts 9: t _1
窃取	sit3cheui2	s i: t _3 . ts 9y _2
立刻	lap6hak1	l 6 p _6 . h 6 k _1
站	jaam6	dz a: m _6
站稳	jaam6wan2	dz a: m _6 . w 6 n _2
竞争力	ging6jang1lik6	g i: N _6 . dz 6 N _1 . l i: k _6
笃	duk1	d u: k _1
第	dai6	d 6j _6
第一	dai6yat1	d 6j _6 . j 6 t _1
第二	dai6yi6	d 6j _6 . j i: _6
等	dang2	d 6 N _2
答案	daap3on3	d a: p _3 . O: n _3	d a: p _3 . N O: n _3
策划	chaak3waak6	ts a: k _3 . w a: k _6
策略	chaak3leuk6	ts a: k _3 . l 9: k _6
简玮雪	gaan2wai5syut3	g a: n _2 . w 6j _5 . s y: t _3
管理	gun2lei5	g u: n _2 . l ej _5
管道	gun2dou6	g u: n _2 . d ow _6
米业	mai5yip6	m 6j _5 . j i: p _6
米兰	mai5laan4	m 6j _5 . l a: n _4
类	leui6	l 9y _6
类型	leui6ying4	l 9y _6 . j i: N _4
粒	lap1	l 6 p _1
粗大	chou1daai6	ts ow _1 . d a:j _6
粤	yut6	j y: t _6
粤语	yut6yu5	j y: t _6 . j y: _5
粮	leung4	l 9: N _4
粹取	seui6cheui2	s 9y _6 . ts 9y _2
精	jeng1	dz E: N _1
精力	jing1lik6	dz i: N _1 . l i: k _6
精度	jeng1dou6	dz E: N _1 . d ow _6
精彩	jing1choi2	dz i: N _1 . ts O:j _2
精神	jing1san4	dz i: N _1 . s 6 n _4
糖	tong2	t O: N _2	t O: N _4
糖尿病	tong2niu6beng6	t O: N _2 . n iw _6 . b E: N _6	t O: N _4 . n iw _6 . b E: N _6
系	hai6	h 6j _6
系统	hai6tung2	h 6j _6 . t u: N _2
素质	sou3jat1	s ow _3 . dz 6 t _1
索道	sok3dou6	s O: k _3 . d ow _6
紧张	gan2jeung1	g 6 n _2 . dz 9: N _1
繁忙	faan4mong4	f a: n _4 . m O: N _4
繁荣	faan4wing4	f a: n _4 . w i: N _4
红外	hung4ngoi6	h u: N _4 . N O:j _6	h u: N _4 . O:j _6
红火蚁	hung4fo2ngai5	h u: N _4 . f O: _2 . N 6j _5
红绿灯	hung4luk6dang1	h u: N _4 . l u: k _6 . d 6 N _1
红颜知己	hung4ngaan4ji1gei2	h u: N _4 . N a: n _4 . dz i: _1 . g ej _2	h u: N _4 . a: n _4 . dz i: _1 . g ej _2
纤维质	chim1wai4jat1	ts i: m _1 . w 6j _4 . dz 6 t _1
约	yeuk3	j 9: k _3
级	kap1	k 6 p _1
纪录	gei3luk6	g ej _3 . l u: k _6
纪念	gei2nim6	g ej _2 . l i: m _6	g ej _2 . n i: m _6
纪玉清	gei2yuk6ching1	g ej _2 . j y: k _6 . ts i: N _1
纵深	jung1sam1	dz u: N _1 . s 6 m _1
纸业	ji2yip6	dz i: _2 . j i: p _6
纺织	fong2jik1	f O: N _2 . dz i: k _1
纺织品	fong2jik1ban2	f O: N _2 . dz i: k _1 . b 6 n _2
练字	lin6ji6	l i: n _6 . dz i: _6
组织	jou2jik1	dz ow _2 . dz i: k _1
组长	jou2jeung2	dz ow _2 . dz 9: N _2
细	sai3	s 6j _3
细细	sai3sai3	s 6j _3 . s 6j _3
细胞	sai3baau1	s 6j _3 . b a:w _1
细菌	sai3kwan2	s 6j _3 . kw 6 n _2
终于	jung1yu1	dz u: N _1 . j y: _1
经	ging1	g i: N _1
经典	ging1din2	g i: N _1 . d i: n _2
经历	ging1lik6	g i: N _1 . l i: k _6
经商	ging1seung1	g i: N _1 . s 9: N _1
经常	ging1seung4	g i: N _1 . s 9: N _4
经济	ging1jai3	g i: N _1 . dz 6j _3
经济家	ging1jai3ga1	g i: N _1 . dz 6j _3 . g a: _1
经营	ging1ying4	g i: N _1 . j i: N _4
经贸	ging1mau6	g i: N _1 . m 6w _6
经过	ging1gwo3	g i: N _1 . gw O: _3
经验	ging1yim6	g i: N _1 . j i: m _6	g i: N _1 . j i: n _6
绑	bong2	b O: N _2
绑架	bong2ga3	b O: N _2 . g a: _3
结下	git3ha6	g i: t _3 . h a: _6
结婚生子	git3fan1saang1ji2	g i: t _3 . f 6 n _1 . s a: N _1 . dz i: _2
结尾	git3mei5	g i: t _3 . m ej _5
给	kap1	k 6 p _1
给予	kap1yu5	k 6 p _1 . j y: _5
绝	jyut6	dz y: t _6
绝对	jyut6deui3	dz y: t _6 . d 9y _3
绞	gaau2	g a:w _2
统一	tung2yat1	t u: N _2 . j 6 t _1
统治	tung2ji6	t u: N _2 . dz i: _6
统计	tung2gai3	t u: N _2 . g 6j _3
继续	gai3juk6	g 6j _3 . dz u: k _6
维他	wai4ta1	w 6j _4 . t a: _1
维他命	wai4ta1ming6	w 6j _4 . t a: _1 . m i: N _6
维园道	wai4yun2dou6	w 6j _4 . j y: n _2 . d ow _6
维多利亚港	wai4do1lei6nga3gong2	w 6j _4 . d O: _1 . l ej _6 . N a: _3 . g O: N _2
维护	wai4wu6	w 6j _4 . w u: _6
维持	wai4chi4	w 6j _4 . ts i: _4
绿化	luk6fa3	l u: k _6 . f a: _3
缅怀	min5waai4	m i: n _5 . w a:j _4
缓解	wun6gaai2	w u: n _4 . g a:j _2	w u: n _6 . g a:j _2
编织	pin1jik1	p i: n _1 . dz i: k _1
缘	yun4	j y: n _4
缜密	jan2mat6	dz 6 n _2 . m 6 t _6
缝针	fung4jam1	f u: N _4 . dz 6 m _1
缺	kyut3	k y: t _3
缺乏	kyut3fat6	k y: t _3 . f 6 t _6
缺知	kyut3ji1	k y: t _3 . dz i: _1
网上	mong5seung6	m O: N _5 . s 9: N _6
网友	mong5yau5	m O: N _5 . j 6w _5
罗马	lo4ma5	l O: _4 . m a: _5
罢	ba6	b a: _6
置	ji3	dz i: _3
罹患	lei4waan6	l ej _4 . w a: n _6
美	mei5	m ej _5
美丽	mei5lai6	m ej _5 . l 6j _6
美化	mei5fa3	m ej _5 . f a: _3
美国	mei5gwok3	m ej _5 . gw O: k _3
美国人	mei5gwok3yan4	m ej _5 . gw O: k _3 . j 6 n _4
美女	mei5neui5	m ej _5 . l 9y _5	m ej _5 . n 9y _5
美好	mei5hou2	m ej _5 . h ow _2
美婷	mei5ting4	m ej _5 . t i: N _4
羡慕	sin6mou6	s i: n _6 . m ow _6
群体	kwan4tai2	kw 6 n _4 . t 6j _2
群岛	kwan4dou2	kw 6 n _4 . d ow _2
老	lou5	l ow _5
老伯	lou5baak3	l ow _5 . b a: k _3
老妈子	lou5ma1ji2	l ow _5 . m a: _1 . dz i: _2
老师	lou5si1	l ow _5 . s i: _1
老板	lou5baan2	l ow _5 . b a: n _2
老细	lou5sai3	l ow _5 . s 6j _3
老者	lou5je2	l ow _5 . dz E: _2
老虎	lou5fu2	l ow _5 . f u: _2
老鼠	lou5syu2	l ow _5 . s y: _2
考察	haau2chaat3	h a:w _2 . ts a: t _3
考证	haau2jing3	h a:w _2 . dz i: N _3
考试	haau2si5	h a:w _2 . s i: _5
者	je2	dz E: _2
而	yi4	j i: _4
而且	yi4che2	j i: _4 . ts E: _2
而家	yi4ga1	j i: _4 . g a: _1
而已	yi4yi5	j i: _4 . j i: _5
耿直不阿	gang2jik6bat1a3	g 6 N _2 . dz i: k _6 . b 6 t _1 . a: _3
聊城	liu4sing4	l iw _4 . s i: N _4
聊表	liu4biu2	l iw _4 . b iw _2
职场	jik1cheung4	dz i: k _1 . ts 9: N _4
职权	jik1kyun4	dz i: k _1 . k y: n _4
聪明	chung1ming4	ts u: N _1 . m i: N _4
肇庆	siu6hing3	s iw _6 . h i: N _3
肉体	yuk6tai2	j y: k _6 . t 6j _2
肉类	yuk6leui6	j y: k _6 . l 9y _6
股	gu2	g u: _2
股份	gu2fan6	g u: _2 . f 6 n _6
股市	gu2si5	g u: _2 . s i: _5
股票	gu2piu3	g u: _2 . p iw _3
肥胖	fei4bun6	f ej _4 . b u: n _6
肯	hang2	h 6 N _2
肯定	hang2ding6	h 6 N _2 . d i: N _6
胆固醇	daam2gu3seun4	d a: m _2 . g u: _3 . s 9: n _4
胎	toi1	t O:j _1
胜过	sing3gwo3	s i: N _3 . gw O: _3
胶	gaau1	g a:w _1
能	nang4	n 6 N _4
能人	nang4yan4	n 6 N _4 . j 6 n _4
能力	nang4lik6	n 6 N _4 . l i: k _6
能够	nang4kau3	n 6 N _4 . k 6w _3
能源	nang4yun4	n 6 N _4 . j y: n _4
脂肪	ji1fong1	dz i: _1 . f O: N _1
脑汁	nou5jap1	n ow _5 . dz 6 p _1
脑袋	nou5doi6	n ow _5 . d O:j _6
脚跟	geuk3gan1	g 9: k _3 . g 6 n _1
脸	lim6	l i: m _6
腰间	yiu1gaan1	j iw _1 . g a: n _1
膝盖	sat1koi3	s 6 t _1 . k O:j _3
自	ji6	dz i: _6
自信	ji6seun3	dz i: _6 . s 9: n _3
自信心	ji6seun3sam1	dz i: _6 . s 9: n _3 . s 6 m _1
自尊心	ji6jyun1sam1	dz i: _6 . dz y: n _1 . s 6 m _1
自己	ji6gei2	dz i: _6 . g ej _2
自律	ji6leut6	dz i: _6 . l 9: t _6
自我	ji6ngo5	dz i: _6 . N O: _5	dz i: _6 . O: _5
自有	ji6yau6	dz i: _6 . j 6w _6
自由	ji6yau4	dz i: _6 . j 6w _4
自给自足	ji6kap1ji6juk1	dz i: _6 . k 6 p _1 . dz i: _6 . dz u: k _1
至	ji3	dz i: _3
至今	ji3gam1	dz i: _3 . g 6 m _1
致	ji3	dz i: _3
致命	ji3ming6	dz i: _3 . m i: N _6
致富	ji3fu3	dz i: _3 . f u: _3
舒适	syu1sik1	s y: _1 . s i: k _1
舞	mou5	m ow _5
航班	hong4baan1	h O: N _4 . b a: n _1
般	bun1	b u: n _1
船	syun4	s y: n _4
良好	leung4hou2	l 9: N _4 . h ow _2
良知	leung4ji1	l 9: N _4 . dz i: _1
艰巨	gaan1geui6	g a: n _1 . g 9y _6
艺术	ngai6seut6	N 6j _6 . s 9: t _6
艾斯宾奴	ngaai6si1ban1nou4	N a:j _6 . s i: _1 . b 6 n _1 . l ow _4	N a:j _6 . s i: _1 . b 6 n _1 . n ow _4	a:j _6 . s i: _1 . b 6 n _1 . l ow _4	a:j _6 . s i: _1 . b 6 n _1 . n ow _4
节	jit3	dz i: t _3
芜湖	mou4wu4	m ow _4 . w u: _4
芝华	ji1wa4	dz i: _1 . w a: _4
芬兰湾	fan1laan4waan1	f 6 n _1 . l a: n _4 . w a: n _1
花	fa1	f a: _1
花好月圆	fa1hou3yut6yun4	f a: _1 . h ow _3 . j y: t _6 . j y: n _4
花花草草	fa1fa1chou2chou2	f a: _1 . f a: _1 . ts ow _2 . ts ow _2
花费	fa1fai3	f a: _1 . f 6j _3
若	yeuk6	j 9: k _6
苦恼	fu2nou5	f u: _2 . n ow _5
英德	ying1dak1	j i: N _1 . d 6 k _1
英德市	ying1dak1si5	j i: N _1 . d 6 k _1 . s i: _5
英飞拓	ying1fei1jek3	j i: N _1 . f ej _1 . dz E: k _3
苹果	ping4gwo2	p i: N _4 . gw O: _2
茁壮成长	jyut3jong3sing4jeung2	dz y: t _3 . dz O: N _3 . s i: N _4 . dz 9: N _2
茂名	mau6meng4	m 6w _6 . m E: N _4
范围	faan6wai4	f a: n _6 . w 6j _4
茅台酒	maau4toi4jau2	m a:w _4 . t O:j _4 . dz 6w _2
茗霞	ming4ha4	m i: N _4 . h a: _4
茶楼	cha4lau4	ts a: _4 . l 6w _4
荃银	chyun4ngan4	ts y: n _4 . N 6 n _4
草原	chou2yun4	ts ow _2 . j y: n _4
荔枝	lai6ji1	l 6j _6 . dz i: _1
荣事达	wing4si6daat6	w i: N _4 . s i: _6 . d a: t _6
荧光毛虫	ying4gwong1mou4chung4	j i: N _4 . gw O: N _1 . m ow _4 . ts u: N _4
药业	yeuk6yip6	j 9: k _6 . j i: p _6
药物	yeuk6mat6	j 9: k _6 . m 6 t _6
莱阳	loi4yeung4	l O:j _4 . j 9: N _4
获	wok6	w O: k _6
获得	wok6dak1	w O: k _6 . d 6 k _1
获释	wok6sik1	w O: k _6 . s i: k _1
营养	ying4yeung5	j i: N _4 . j 9: N _5
营长	ying4jeung2	j i: N _4 . dz 9: N _2
落	lok6	l O: k _6
落实	lok6sat6	l O: k _6 . s 6 t _6
葡	pou4	p ow _4
葡萄酒业	pou4tou4jau2yip6	p ow _4 . t ow _4 . dz 6w _2 . j i: p _6
董菁延	dung2ching1yin4	d u: N _2 . dz i: N _1 . j i: n _4	d u: N _2 . ts i: N _1 . j i: n _4
蒸汽机	jing1hei3gei1	dz i: N _1 . h ej _3 . g ej _1
蓝	laam4	l a: m _4	l a: n _4
蓝玲伯	laam4ling4baak3	l a: m _4 . l i: N _4 . b a: k _3
蓬莱	pung4loi4	p u: N _4 . l O:j _4
蔡妙宏	choi3miu6wang4	ts O:j _3 . m iw _6 . w 6 N _4
蔡明杰	choi3ming4git6	ts O:j _3 . m i: N _4 . g i: t _6
薄	bok6	b O: k _6
藁城	gou2sing4	g ow _2 . s i: N _4
藏	chong4	ts O: N _4
藤	tang4	t 6 N _4
虽	seui1	s 9y _1
虽然	seui1yin4	s 9y _1 . j i: n _4
蚊	man1	m 6 n _1
蛮	maan4	m a: n _4
蛾姐	ngo4je2	N O: _4 . dz E: _2
蜡烛	laap6juk1	l a: p _6 . dz u: k _1
融化	yung4fa3	j y: N _4 . f a: _3
行	hong2	h O: N _2
行为	hang4wai4	h 6 N _4 . w 6j _4
行人	haang4yan4	h a: N _4 . j 6 n _4	h 6 N _4 . j 6 n _4
行动	hang4dung6	h 6 N _4 . d u: N _6
行走	haang4jau2	h a: N _4 . dz 6w _2	h 6 N _4 . dz 6w _2
街市	gaai1si5	g a:j _1 . s i: _5
街道	gaai1dou6	g a:j _1 . d ow _6
衡阳	hang4yeung4	h 6 N _4 . j 9: N _4
补偿	bou2seung4	b ow _2 . s 9: N _4
表现	biu2yin6	b iw _2 . j i: n _6
表示	biu2si6	b iw _2 . s i: _6
表达	biu2daat6	b iw _2 . d a: t _6
衫	saam1	s a: m _1
衰退	seui1teui3	s 9y _1 . t 9y _3
被	pei6	p ej _6
被迫	bei6bik1	b ej _6 . b i: k _1
裁判	choi4pun3	ts O:j _4 . p u: n _3
裕明	yu6ming4	j y: _6 . m i: N _4
裤	fu3	f u: _3
西	sai1	s 6j _1
西安	sai1ngon1	s 6j _1 . N O: n _1	s 6j _1 . O: n _1
西方	sai1fong1	s 6j _1 . f O: N _1
西方人	sai1fong1yan4	s 6j _1 . f O: N _1 . j 6 n _4
要	yiu1	j iw _1
要是	yiu3si6	j iw _3 . s i: _6
要求	yiu1kau4	j iw _1 . k 6w _4
见	gin3	g i: n _3
见到	gin3dou2	g i: n _3 . d ow _2	g i: n _3 . d ow _3
见异思迁	gin3yi6si1chin1	g i: n _3 . j i: _6 . s i: _1 . ts i: n _1
见识	gin3sik1	g i: n _3 . s i: k _1
见风使帆	gin3fung1si5faan4	g i: n _3 . f u: N _1 . s i: _5 . f a: n _4
规定	kwai1ding6	kw 6j _1 . d i: N _6
规律	kwai1leut6	kw 6j _1 . l 9: t _6
规模	kwai1mou4	kw 6j _1 . m ow _4
视野	si6ye5	s i: _6 . j E: _5
觉得	gok3dak3	g O: k _3 . d 6 k _3
角	gok3	g O: k _3
角力	gok3lik6	g O: k _3 . l i: k _6
解决	gaai2kyut3	g a:j _2 . k y: t _3
解困	gaai2kwan3	g a:j _2 . kw 6 n _3
解说	gaai2syut3	g a:j _2 . s y: t _3
触摸	juk1mo2	dz u: k _1 . m O: _2	ts u: k _1 . m O: _2
言	yin4	j i: n _4
言词	yin4chi4	j i: n _4 . ts i: _4
言语	yin4yu5	j i: n _4 . j y: _5
计划	gai3waak6	g 6j _3 . w a: k _6
订阅	ding6yut6	d E: N _6 . j y: t _6	d i: N _6 . j y: t _6
认为	ying6wai4	j i: N _6 . w 6j _4
认同	ying6tung4	j i: N _6 . t u: N _4
认清	ying6ching1	j i: N _6 . ts i: N _1
认真	ying6jan1	j i: N _6 . dz 6 n _1
认识	ying6sik1	j i: N _6 . s i: k _1
让	yeung6	j 9: N _6
记录	gei3luk6	g ej _3 . l u: k _6
讲	gong2	g O: N _2
许	heui2	h 9y _2
许哲铭	heui2jit3ming4	h 9y _2 . dz i: t _3 . m i: N _4	h 9y _2 . dz i: t _3 . m i: N _5
许多	heui2do1	h 9y _2 . d O: _1
设备	chit3bei6	ts i: t _3 . b ej _6
设施	chit3si1	ts i: t _3 . s i: _1
设立	chit3lap6	ts i: t _3 . l 6 p _6
设计	chit3gai3	ts i: t _3 . g 6j _3
访客	fong2haak3	f O: N _2 . h a: k _3
访港	fong2gong2	f O: N _2 . g O: N _2
证券	jing3gyun3	dz i: N _3 . g y: n _3
证明	jing3ming4	dz i: N _3 . m i: N _4
证明书	jing3ming4syu1	dz i: N _3 . m i: N _4 . s y: _1
评价	ping4ga3	p i: N _4 . g a: _3
词	chi4	ts i: _4
诚信	sing4seun3	s i: N _4 . s 9: n _3
诚心诚意	sing4sam1sing4yi3	s i: N _4 . s 6 m _1 . s i: N _4 . j i: _3
话	wa2	w a: _2
诠释	chyun4sik1	ts y: n _4 . s i: k _1
该	goi1	g O:j _1
语无伦次	yu5mou4leun4chi3	j y: _5 . m ow _4 . l 9: n _4 . ts i: _3
语种	yu5jung2	j y: _5 . dz u: N _2
语言	yu5yin4	j y: _5 . j i: n _4
误	ng6	N _6
说	seui3	s 9y _3
说话	syut3wa6	s y: t _3 . w a: _6
读	duk6	d u: k _6
读书	duk6syu1	d u: k _6 . s y: _1
谁	seui4	s 9y _4
调兵山	diu6bing1saan1	d iw _6 . b i: N _1 . s a: n _1
调剂	tiu4jai1	t iw _4 . dz 6j _1
调整	tiu4jing2	t iw _4 . dz i: N _2
调查	diu6cha4	d iw _6 . ts a: _4
谈	taam4	t a: m _4
谈判	taam4pun3	t a: m _4 . p u: n _3
谢	je6	dz E: _6
谢雅婷	je6nga5ting4	dz E: _6 . N a: _5 . t i: N _4
象征	jeung6jing1	dz 9: N _6 . dz i: N _1
象牙	jeung6nga4	dz 9: N _6 . N a: _4
贝因美	bui3yan1mei5	b u:j _3 . j 6 n _1 . m ej _5
负担	fu6daam1	f u: _6 . d a: m _1
负责	fu6jaak3	f u: _6 . dz a: k _3
贡献	gung3hin3	g u: N _3 . h i: n _3
财富	choi4fu3	ts O:j _4 . f u: _3
账	jeung3	dz 9: N _3
质量	jat1leung6	dz 6 t _1 . l 9: N _6
贫	pan4	p 6 n _4
贫困者	pan4kwan3je2	p 6 n _4 . kw 6 n _3 . dz E: _2
购	kau3	k 6w _3
贵	gwai3	gw 6j _3
贵州	gwai3jau1	gw 6j _3 . dz 6w _1
贵港市	gwai3gong2si5	gw 6j _3 . g O: N _2 . s i: _5
贸易	mau6yik6	m 6w _6 . j i: k _6
费	fai3	f 6j _3
资	ji1	dz i: _1
资料	ji1liu2	dz i: _1 . l iw _2
资本	ji1bun2	dz i: _1 . b u: n _2
资源	ji1yun4	dz i: _1 . j y: n _4
赏赐	seung2chi3	s 9: N _2 . ts i: _3
赖佐玟	laai6jo3man4	l a:j _6 . dz O: _3 . m 6 n _4
赚钱	jaan6chin2	dz a: n _6 . ts i: n _2
赞美	jaan3mei5	dz a: n _3 . m ej _5
赢得	yeng4dak1	j E: N _4 . d 6 k _1
赣州	gam3jau1	g 6 m _3 . dz 6w _1
走	jau2	dz 6w _2
走下去	jau2ha6heui3	dz 6w _2 . h a: _6 . h 9y _3
走过	jau2gwo3	dz 6w _2 . gw O: _3
起	hei2	h ej _2
起来	hei2loi4	h ej _2 . l O:j _4
起步	hei2bou6	h ej _2 . b ow _6
超	chiu1	ts iw _1
超越	chiu1yut6	ts iw _1 . j y: t _6
超过	chiu1gwo3	ts iw _1 . gw O: _3
越	yut6	j y: t _6
越来越	yut6loi4yut6	j y: t _6 . l O:j _4 . j y: t _6
趣味	cheui3mei6	ts 9y _3 . m ej _6
足球	juk1kau4	dz u: k _1 . k 6w _4
跌	dit3	d i: t _3
跌幅	dit3fuk1	d i: t _3 . f u: k _1
距离	keui5lei4	k 9y _5 . l ej _4
跟	gan1	g 6 n _1
跨	kwa1	kw a: _1
跨国	kwa1gwok3	kw a: _1 . gw O: k _3
跨地区	kwa1dei6keui1	kw a: _1 . d ej _6 . k 9y _1
路	lou6	l ow _6
路面	lou6min2	l ow _6 . m i: n _2	l ow _6 . m i: n _6
身	san1	s 6 n _1
身上	san1seung6	s 6 n _1 . s 9: N _6
身份	san1fan2	s 6 n _1 . f 6 n _2
身体	san1tai2	s 6 n _1 . t 6j _2
身家	san1ga1	s 6 n _1 . g a: _1
身边	san1bin1	s 6 n _1 . b i: n _1
躲	do2	d O: _2
车	che1	ts E: _1
车辆	che1leung6	ts E: _1 . l 9: N _6
转	jyun2	dz y: n _2	dz y: n _3
转变	jyun2bin3	dz y: n _2 . b i: n _3
轮替	leun4tai3	l 9: n _4 . t 6j _3
轻松	hing1sung1	h i: N _1 . s u: N _1	h E: N _1 . s u: N _1
轻重缓急	hing1chung5wun4gap1	h E: N _1 . ts u: N _5 . w u: n _4 . g 6 p _1	h i: N _1 . ts u: N _5 . w u: n _4 . g 6 p _1
载具	joi2geui6	dz O:j _2 . g 9y _6	dz O:j _3 . g 9y _6
较	gaau3	g a:w _3
辉隆	fai1lung4	f 6j _1 . l u: N _4
边	bin1	b i: n _1
达	daat6	d a: t _6
达到	daat6dou3	d a: t _6 . d ow _3
达成	daat6sing4	d a: t _6 . s i: N _4
迅速	seun3chuk1	s 9: n _3 . ts u: k _1
过	gwo3	gw O: _3
过去	gwo3heui3	gw O: _3 . h 9y _3
过后	gwo3hau6	gw O: _3 . h 6w _6
过多	gwo3do1	gw O: _3 . d O: _1
