ሀም	h1m6	h a m
ታሸሁት	t4sh1h2t6	t a S . S @ . h u t
ታሸች	t4sh1c6	t a S . S @ tS tS
ታሸችው	t4sh1c6w6	t a . S @ tS . tS 1 w	t a S . S @ tS . tS 1 w
ታሾፊያለሽ	t4sh7f3y4l1sh6	t a . S o . f i . j a l . l @ S
ታቀርቢያለሽ	t4K1r6b3y4l1sh6	t a . k> @ r . b i . j a l . l @ S
ታቀብለኛለህ	t4K1b6l1J4l1h6	t a . k> @ b . b 1 . l @ J . J a l . l @ h
ታቂኛለሽ	t4K3J4l1sh6	t a . k> i J . J a l . l @ S
ታቃለች	t4K4l1c6	t a . k> a l . l @ tS tS
ታቃለክ	t4K4l1k6	t a . k> a l . l @ k
ታበርዳለች	t4b1r6d4l1c6	t a . b @ r . d a l . l @ tS tS
ታባክናለች	t4b4k6n4l1c6	t a . b a k . k 1 . n a l . l @ tS tS
ታብሌቷ	t4b6l5tw4	t a b . l e tw . tw a
ታቦሩ	t4b7r2	t a . b o . r u
ታቦር	t4b7r6	t a . b o r
ታቦተ	t4b7t1	t a . b o . t @
ታታሪነትህ	t4t4r3n1t6h6	t a . t a . r i n . n @ . t 1 h
ታትዬን	t4t6y5n6	t a . t 1 j . j e n
ታቻችለዋለህ	t4c4c6l1w4l1h6	t a tS . tS a . tS 1 . l @ . w a l . l @ h
ታችማ	t4c6m4	t a tS . tS 1 m . m a
ታችኛው	t4c6J4w6	t a tS . tS 1 J . J a w
ታነሳሀለች	t4n1s4h1l1c6	t a . n @ . s a . h a l . l @ tS tS
ታነሳዋለች	t4n1s4w4l1c6	t a . n @ . s a . w a l . l @ tS tS
ታነበዋለይ	t4n1b1w4l1y6	t a . n @ b . b @ . w a l . l @ j
ታነብ	t4n1b6	t a . n @ b b
ታናሽ	t4n4sh6	t a n . n a S
ታናናሾቻችን	t4n4n4sh7c4c6n6	t a . n a n . n a . S o tS . tS a tS . tS 1 n
ታናግረኝ	t4n4g6r1J6	t a n . n a g . g 1 . r @ J J	t a n . n a g . r @ J J
ታናግረዋለህ	t4n4g6r1w4l1h6	t a n . n a g . g 1 . r @ . w a l . l @ h
ታናግሪዋለሽ	t4n4g6r3w4l1sh6	t a n . n a g . g 1 . r i . w a l . l @ S
ታናግራታለች	t4n4g6r4t4l1c6	t a n . n a g . g 1 . r a . t a l . l @ tS tS
ታናግርልኛለህ	t4n4g6r6l6J4l1h6	t a n . n a g . g 1 . r 1 l . l 1 J . J a l . l @ h
ታናግርሻለች	t4n4g6r6sh4l1c6	t a n . n a g . g 1 r . S a l . l @ tS tS
ታንቀሳቅሰዋለህ	t4n6K1s4K6s1w4l1h6	t a n . k> @ . s a k> . k> 1 . s @ . w a l . l @ h
ታንክ	t4n6k6	t a n k
ታከመ	t4k1m1	t a k . k @ . m @
ታከመች	t4k1m1c6	t a k . k @ . m @ tS tS
ታከራይኛለሽ	t4k1r4y6J4l1sh6	t a k . k @ . r a j . j 1 J . J a l . l @ S
ታከተኝ	t4k1t1J6	t a k . k @ . t @ J J
ታከናውናለህ	t4k1n4w6n4l1h6	t a k . k @ . n a w . w 1 . n a l . l @ h
ታክል	t4k6l6	t a k . k 1 l
ታክማ	t4k6m4	t a k . k 1 . m a
ታክስ	t4k6s6	t a . k 1 s
ታኮሪናለሽ	t4k7r3n4l1sh6	t a . k o . r i . n a l . l @ S
ታኮራኛለህ	t4k7r4J4l1h6	t a . k o . r a J . J a l . l @ h
ታወሪ	t4w1r3	t a . w @ . r i
ታወሪያለሽ	t4w1r3y4l1sh6	t a . w @ . r i . j a l . l @ S
ታወራለህ	t4w1r4l1h6	t a . w @ . r a l . l @ h
ታወራኛለህ	t4w1r4J4l1h6	t a . w @ . r a J . J a l . l @ h
ታወራው	t4w1r4w6	t a . w @ . r a w
ታወዛግባለች	t4w1z4g6b4l1c6	t a w . w @ . z a g . g 1 . b a l . l @ tS tS
ታወዳድረዋለህ	t4w1d4d6r1w4l1h6	t a w . w @ . d a d . d 1 . r @ . w a l . l @ h
ታወጣ	t4w1T4	t a . w @ . t> a	t a . w @ t> . t> a
ታወጣለች	t4w1T4l1c6	t a . w @ . t> a l . l @ tS tS
ታወጣልኛለህ	t4w1T4l6J4l1h6	t a . w @ . t> a l . l 1 J . J a l . l @ h
ታዋራሀለች	t4w4r4h1l1c6	t a w . w a r . r a . h a l . l @ tS tS
ታዋራኛለህ	t4w4r4J4l1h6	t a w . w a r . r a J . J a l . l @ h
ታዋቂ	t4w4K3	t a . w a . k> i
ታውቀሀል	t4w6K1h1l6	t a w . k> @ . h a l
ታውቀኝ	t4w6K1J6	t a w . k> @ J J
ታውቀዋለሀ	t4w6K1w4l1h1	t a w . k> @ . w a l . l @ . h a
ታውቀዋለች	t4w6K1w4l1c6	t a w . w 1 k> . k> @ . w a l . l @ tS tS
ታውቂያቸው	t4w6K3y4c1w6	t a w . k> i . j a tS . tS @ w
ታውቃላችሁ	t4w6K4l4c6h2	t a w . k> a l . l a tS . tS 1 . h u
ታውቃቸዋለህ	t4w6K4c1w4l1h6	t a w . k> a tS . tS @ . w a l . l @ h
ታውቆኛል	t4w6K7J4l6	t a w . k> o J . J a l
ታውቋል	t4w6Kw4l6	t a w . k>w a l
ታውጣ	t4w6T4	t a w . t> a
ታዘልለኛለህ	t4z1l6l1J4l1h6	t a z . z @ l . l 1 . l @ J . J a l . l @ h
ታዘብኩሽ	t4z1b6k2sh6	t a z . z @ b . k u S
ታዘነብል	t4z1n1b6l6	t a . z @ . n @ b . b 1 l
ታዘዘላት	t4z1z1l4t6	t a z . z @ . z @ l . l a t
ታዘዘኝ	t4z1z1J6	t a z . z @ . z @ J J	t a . z @ . z @ J J
ታዘጋጅ	t4z1g4j6	t a z . z @ . g a dZ
ታዝዣቸዋለሽ	t4z6Z4c1w4l1sh6	t a z . Z a tS . tS @ . w a l . l @ S
ታዞልኛል	t4z7l6J4l6	t a z . z o l . l 1 J . J a l
ታዞልኝ	t4z7l6J6	t a z . z o l . l 1 J J
ታየኝ	t4y1J6	t a . j @ J J	t a j . j @ J J
ታየዋለህ	t4y1w4l1h6	t a . j @ . w a l . l @ h
ታየው	t4y1w6	t a . j @ w	t a j . j @ w
ታዩታላችሁ	t4y2t4l4c6h2	t a . j u . t a l . l a tS . tS 1 . h u
ታዩናላችሁ	t4y2n4l4c6h2	t a . j u . n a l . l a tS . tS 1 . h u
ታያታለህ	t4y4t4l1h6	t a . j a . t a l . l @ h
ታያታለሽ	t4y4t4l1sh6	t a . j a . t a l . l @ S
ታያይዥዋለሻ	t4y4y6Z6w4l1sh4	t a j . j a . j 1 Z . w a l . l @ . S a
ታዬ	t4y5	t a j . j e
ታይ	t4y6	t a j
ታይቶህ	t4y6t7h6	t a j . t o h
ታይቶባታል	t4y6t7b4t4l6	t a j . t o b . b a . t a l
ታይቶት	t4y6t7t6	t a j . t o t
ታይቷል	t4y6tw4l6	t a j . tw a l
ታይዋለሽ	t4y6w4l1sh6	t a . j 1 . w a l . l @ S
ታይዋቸዋላችሁ	t4y6w4c1w4l4c6h2	t a j . w a tS . tS @ . w a l . l a tS . tS 1 . h u
ታይፈስ	t4y6f1s6	t a j . f @ s
ታይፎይድ	t4y6f7y6d6	t a j . f o j d
ታይፕ	t4y6p6	t a . j 1 p	t a j p
ታደለ	t4d1l1	t a d . d @ . l @
ታደርገው	t4d1r6g1w6	t a . d @ r . g @ w
ታደርጊናለሽ	t4d1r6g3n4l1sh6	t a . d @ r . g i n . n a l . l @ S
ታደርጊያታለሽ	t4d1r6g3y4t4l1sh6	t a . d @ r . g i . j a . t a l . l @ S
ታደርጊያት	t4d1r6g3y4t6	t a . d @ r . g i . j a t
ታደርጋለች	t4d1r6g4l1c6	t a . d @ r . g a l . l @ tS tS
ታደርግልሀለች	t4d1r6g6l6h1l1c6	t a . d @ r . g 1 l . l 1 . h a l . l @ tS tS
ታደርግልሻለች	t4d1r6g6l6sh4l1c6	t a . d @ r . g 1 l . l 1 . S a l . l @ tS tS
ታደርግልኛለህ	t4d1r6g6l6J4l1h6	t a . d @ r . g 1 l . l 1 J . J a l . l @ h
ታደሰ	t4d1s1	t a d . d @ . s @
ታደሰም	t4d1s1m6	t a d . d @ . s @ m m
ታደሰን	t4d1s1n6	t a d . d @ . s @ n
ታደፈርሰው	t4d1f1r6s1w6	t a . d @ . f @ r . r 1 . s @ w
ታዲያስ	t4d3y4s6	t a . d i . j a s s
ታድለሀል	t4d6l1h1l6	t a d . d 1 . l @ . h a l
ታድለሽ	t4d6l1sh6	t a d . d 1 . l @ S
ታድርግ	t4d6r6g6	t a . d 1 r g
ታድርግልኝ	t4d6r6g6l6J6	t a . d 1 r . g 1 l . l 1 J J
ታድያስ	t4d6y4s6	t a d . j a s s
ታድዬ	t4d6y5	t a d . d 1 j . j e
ታገሱት	t4g1s2t6	t a g . g @ . s u t
ታገሽው	t4g1sh6w6	t a g . g @ . S 1 w
ታገናኚኛለሽ	t4g1n4J3J4l1sh6	t a g . g @ . n a J . J i J . J a l . l @ S
ታገኘዋለህ	t4g1J1w4l1h6	t a . g @ J . J @ . w a l . l @ h
ታገኘው	t4g1J1w6	t a . g @ J . J @ w
ታገኙ	t4g1J2	t a . g @ J . J u
ታገኚዋለሽ	t4g1J3w4l1sh6	t a . g @ J . J i . w a l . l @ S
ታገኛለች	t4g1J4l1c6	t a . g @ J . J a l . l @ tS
ታገኛላችሁ	t4g1J4l4c6h2	t a . g @ J . J a l . l a tS . tS 1 . h u
ታገኛታለህ	t4g1J4t4l1h6	t a . g @ J . J a . t a l . l @ h
ታገኛታለሽ	t4g1J4t4l1sh6	t a . g @ J . J a . t a l . l @ S
ታገኛቸዋለሽ	t4g1J4c1w4l1sh6	t a . g @ J . J a tS . tS @ . w a l . l @ S
ታገኛችዋለሽ	t4g1J4c6w4l1sh6	t a . g @ J . J a tS . tS 1 . w a l . l @ S
ታገኝልኛለህ	t4g1J6l6J4l1h6	t a . g @ J . J 1 l . l 1 J . J a l . l @ h
ታገኝዋለሽ	t4g1J6w4l1sh6	t a . g @ J . J 1 . w a l . l @ S
ታግባባናለህ	t4g6b4b4n4l1h6	t a g . b a b . b a . n a l . l @ h
ታግዘው	t4g6z1w6	t a . g 1 . z @ w	t a g . g 1 . z @ w
ታግዥን	t4g6Z6n6	t a g . g 1 . Z 1 n
ታጎርሰኛለች	t4g7r6s1J4l1c6	t a . g o r . s @ J . J a l . l @ tS tS
ታጠቅ	t4T1K6	t a . t> @ k>
ታጠቢና	t4T1b3n4	t a . t> @ . b i n . n a
ታጠቢው	t4T1b3w6	t a . t> @ . b i w
ታጠብሽ	t4T1b6sh6	t a . t> @ b . b 1 S	t a t> . t> @ b S
ታጠብሽው	t4T1b6sh6w6	t a t> . t> @ b . S 1 w
ታጥሮ	t4T6r7	t a t> . r o
ታጥቄ	t4T6K5	t a . t> 1 k> . k> e
ታጥበሽ	t4T6b1sh6	t a t> . b @ S
ታጥቤ	t4T6b5	t a . t> 1 b . b e
ታጫፍረኛለህ	t4C4f6r1J4l1h6	t a tS> . tS> a f . f 1 . r @ J . J a l . l @ h
ታጸዳለች	t4S1d4l1c6	t a . s> @ . d a l . l @ tS tS
ታፅፋለች	t4tz6f4l1c6	t a s> . s> 1 . f a l . l @ tS tS
ታፈላልጊያለሽ	t4f1l4l6g3y4l1sh6	t a f . f @ . l a l . l 1 . g i . j a l . l @ S
ታፈነ	t4f1n1	t a f . f @ . n @
ታፍኝዋለሽ	t4f6J6w4l1sh6	t a f . f 1 . J 1 . w a l . l @ S
ታፔላው	t4p5l4w6	t a p . p e l . l a w
ቴሌቪዢኑ	t5l5v3Z3n2	t e . l e . v i . Z i . n u
ቴሌቪዢኑም	t5l5v3Z3n2m6	t e . l e . v i . Z i . n u m m
ቴሌቪዥናችን	t5l5v3Z6n4c6n6	t e . l e . v i . Z 1 . n a tS . tS 1 n
ቴሌቶን	t5l5t7n6	t e . l e . t o n
ቴሌኮሙኒኬሽን	t5l5k7m2n3k5sh6n6	t e . l e . k o . m u . n i . k e . S 1 n
ቴሌኮም	t5l5k7m6	t e . l e . k o m
ቴሌውን	t5l5w6n6	t e . l e . w 1 n
ቴሌዎች	t5l5w7c6	t e . l e . w o tS tS
ቴሌፎን	t5l5f7n6	t e . l e . f o n
ቴኒስ	t5n3s6	t e . n i s
ቴንኪው	t5n6k3w6	t e n . k i w
ቴክስታይል	t5k6s6t4y6l6	t e . k 1 s . t a j l
ቴክኖሎጂ	t5k6n7l7j3	t e k . n o . l o . dZ i
ቴክኖሎጂው	t5k6n7l7j3w6	t e k . n o . l o . dZ i w
ቴዲም	t5d3m6	t e . d i m m
ቴዲና	t5d3n4	t e . d i n . n a
ቴዲን	t5d3n6	t e . d i n
ቴዳ	t5d4	t e . d a
ቴድ	t5d6	t e d
ትሁናት	t6h2n4t6	t 1 . h u . n a t
ትሁንና	t6h2n6n4	t 1 . h u . n 1 n . n a
ትሂድ	t6h3d6	t 1 . h i d
ትሄዳለቻ	t6h5d4l1c4	t 1 . h e . d a l . l @ tS . tS a
ትሄድበታለህ	t6h5d6b1t4l1h6	t 1 . h e . d 1 b . b @ . t a l . l @ h
ትሄጂ	t6h5j3	t 1 . h e . dZ i
ትሆኑኛላችሁ	t6h7n2J4l4c6h2	t 1 . h o . n u J . J a l . l a tS . tS 1 . h u
ትሆናለች	t6h7n4l1c6	t 1 . h o . n a l . l @ tS tS
ትሆናላ	t6h7n4l4	t 1 . h o . n a l . l a
ትሆንና	t6h7n6n4	t 1 . h o . n 1 n . n a
ትሆኚ	t6h7J3	t 1 . h o . J i
ትሆኝኛለሽ	t6h7J6J4l1sh6	t 1 . h o J . J 1 J . J a l . l @ S
ትለምዳለች	t6l1m6d4l1c6	t 1 . l @ m . d a l . l @ tS tS
ትለኛለህ	t6l1J4l1h6	t 1 . l @ J . J a l . l @ h
ትለከፊያለሽ	t6l1k1f3y4l1sh6	t 1 l . l @ k . k @ . f i . j a l . l @ S
ትለዋለች	t6l1w4l1c6	t 1 . l @ . w a l . l @ tS tS
ትለው	t6l1w6	t 1 . l @ w
ትለውጥ	t6l1w6T6	t 1 . l @ w . w 1 t>
ትሉት	t6l2t6	t 1 . l u t
ትላላችሁ	t6l4l4c6h2	t 1 . l a l . l a tS . tS 1 . h u
ትላልቆቹ	t6l4l6K7c2	t 1 . l a l . l 1 . k> o tS . tS u
ትላንተ	t6l4n6t1	t 1 . l a n . t @
ትላንተና	t6l4n6t1n4	t 1 . l a n . t @ n . n a
ትላንትማ	t6l4n6t6m4	t 1 . l a n . t 1 m . m a
ትላክልኝ	t6l4k6l6J6	t 1 l . l a . k 1 l . l 1 J J	t 1 . l a . k 1 l . l 1 J J
ትልልቅ	t6l6l6K6	t 1 . l 1 l . l 1 k>
ትልልቆቹ	t6l6l6K7c2	t 1 . l 1 l . l 1 . k> o tS . tS u
ትልልቆቹማ	t6l6l6K7c2m4	t 1 . l 1 l . l 1 . k> o tS . tS u m . m a
ትልመደው	t6l6m1d1w6	t 1 l . m @ . d @ w
ትልሻለች	t6l6sh4l1c6	t 1 . l 1 . S a l . l @ tS tS
ትልቁም	t6l6K2m6	t 1 l . l 1 . k> u m
ትልቁስ	t6l6K2s6	t 1 l . l 1 . k> u s s
ትልቁን	t6l6K2n6	t 1 l . l 1 . k> u n
ትልቁንም	t6l6K2n6m6	t 1 l . l 1 . k> u . n 1 m m
ትልቋስ	t6l6Kw4s6	t 1 l . l 1 . k>w a s s
ትልበት	t6l6b1t6	t 1 . l 1 b . b @ t
ትልብሻለች	t6l6b6sh4l1c6	t 1 . l 1 b . b 1 . S a l . l @ tS tS
ትልክልሻለች	t6l6k6l6sh4l1c6	t 1 . l 1 . k 1 l . l 1 . S a l . l @ tS tS
ትልክልንና	t6l6k6l6n6n4	t 1 . l 1 . k 1 l . l 1 . n 1 n . n a
ትመለሳለሀ	t6m1l1s4l1h1	t 1 m . m @ l . l @ . s a l . l @ . h a
ትመለሳለህ	t6m1l1s4l1h6	t 1 m . m @ l . l @ . s a l . l @ h
ትመለስና	t6m1l1s6n4	t 1 m . m @ . l @ . s 1 n . n a	t 1 m . m @ l . l @ . s 1 n . n a
ትመለሻለሽ	t6m1l1sh4l1sh6	t 1 m . m @ l . l @ . S a l . l @ S
ትመልሰዋለህ	t6m1l6s1w4l1h6	t 1 . m @ l . l 1 . s @ . w a l . l @ h
ትመልሳለህ	t6m1l6s4l1h6	t 1 . m @ l . l 1 . s a l . l @ h
ትመረቃለች	t6m1r1K4l1c6	t 1 m . m @ r . r @ . k> a l . l @ tS tS
ትመርጠዋለህ	t6m1r6T1w4l1h6	t 1 . m @ r . t> @ . w a l . l @ h
ትመርጣለህ	t6m1r6T4l1h6	t 1 . m @ r . t> a l . l @ h
ትመስለኛለች	t6m1s6l1J4l1c6	t 1 . m @ s . l @ J . J a l . l @ tS tS	t 1 . m @ s . s 1 . l @ J . J a l . l @ tS tS
ትመስላለች	t6m1s6l4l1c6	t 1 . m @ s . l a l . l @ tS tS	t 1 . m @ s . s 1 . l a l . l @ tS tS
ትመስልሻለች	t6m1s6l6sh4l1c6	t 1 . m @ s . s 1 . l 1 . S a l . l @ tS tS	t 1 . m @ s . l 1 . S a l . l @ tS tS
ትመታለህ	t6m1t4l1h6	t 1 m . m @ t . t a l . l @ h	t 1 . m @ . t a l . l @ h
ትመጣለሀ	t6m1T4l1h1	t 1 . m @ . t> a l . l @ . h a
ትመጣና	t6m1T4n4	t 1 . m @ . t> a n . n a
ትመጥኛለሽ	t6m1T6J4l1sh6	t 1 . m @ t> . t> 1 J . J a l . l @ S
ትመጥኝዋለሽ	t6m1T6J6w4l1sh6	t 1 . m @ t> . t> 1 J . J 1 . w a l . l @ S
ትመጪ	t6m1C3	t 1 . m @ . tS> i
ትመጪያለሽ	t6m1C3y4l1sh6	t 1 . m @ . tS> i . j a l . l @ S
ትማራለህ	t6m4r4l1h6	t 1 m . m a . r a l . l @ h
ትማራለች	t6m4r4l1c6	t 1 m . m a . r a l . l @ tS tS
ትማራላችሁ	t6m4r4l4c6h2	t 1 m . m a . r a l . l a tS . tS 1 . h u
ትማር	t6m4r6	t 1 m . m a r
ትማከሩበታላችሁ	t6m4k1r2b1t4l4c6h2	t 1 m . m a k . k @ . r u b . b @ . t a l . l a tS . tS 1 . h u
ትምህርታቸው	t6m6h6r6t4c1w6	t 1 m . h 1 r . t a tS . tS @ w
ትምህርቴ	t6m6h6r6t5	t 1 m . h 1 r . t e
ትምህርትስ	t6m6h6r6t6s6	t 1 m . h 1 r . t 1 s s
ትምህርትሽ	t6m6h6r6t6sh6	t 1 m . h 1 r . t 1 S
ትምህርትዋን	t6m6h6r6t6w4n6	t 1 m . h 1 . r 1 t . w a n
ትምህርቷ	t6m6h6r6tw4	t 1 m . h 1 r . tw a
ትምህርቷን	t6m6h6r6tw4n6	t 1 m . h 1 r . tw a n
ትምርትም	t6m6r6t6m6	t 1 . m 1 r . t 1 m m
ትምከራት	t6m6k1r4t6	t 1 m . k @ . r a t
ትሞላ	t6m7l4	t 1 m . m o l . l a	t 1 . m o . l a
ትሞክራለቻ	t6m7k6r4l1c4	t 1 . m o k . k 1 . r a l . l @ tS . tS a
ትሞክር	t6m7k6r6	t 1 . m o k . k 1 r
ትሞይልኛለሽ	t6m7y6l6J4l1sh6	t 1 m . m o j . j 1 l . l 1 J . J a l . l @ S	t 1 . m o . j 1 l . l 1 J . J a l . l @ S
ትረሻሽ	t6r1sh4sh6	t 1 r . r @ S . S a S
ትረቻለሽ	t6r1c4l1sh6	t 1 r . r @ tS . tS a l . l @ S	t 1 . r @ . tS a l . l @ S
ትረኪቢኛለሽ	t6r1k3b3J4l1sh6	t 1 . r @ . k i b . b i J . J a l . l @ S
ትረካ	t6r1k4	t 1 . r @ . k a	t 1 r . r @ . k a
ትረዳናለህ	t6r1d4n4l1h6	t 1 r . r @ d . d a . n a l . l @ h	t 1 . r @ . d a . n a l . l @ h
ትረጅናለሽ	t6r1j6n4l1sh6	t 1 r . r @ dZ . dZ 1 . n a l . l @ S	t 1 . r @ . dZ 1 . n a l . l @ S
ትረጅኛለሽ	t6r1j6J4l1sh6	t 1 . r @ . dZ 1 J . J a l . l @ S
ትሪትመንት	t6r3t6m1n6t6	t 1 . r i t . m @ n t
ትራስ	t6r4s6	t 1 . r a s
ትራቭል	t6r4v6l6	t 1 . r a . v 1 l
ትራንስፖርቱ	t6r4n6s6p7r6t2	t 1 . r a . n 1 s . p o r . t u
ትራንስፖርቱማ	t6r4n6s6p7r6t2m4	t 1 . r a . n 1 s . p o r . t u m . m a
ትራንስፖርቱን	t6r4n6s6p7r6t2n6	t 1 . r a . n 1 s . p o r . t u n
ትራንዚሽን	t6r4n6z3sh6n6	t 1 . r a n . z i . S 1 n
ትራክ	t6r4k6	t 1 . r a k
ትሬኒንጉ	t6r5n3n6g2	t 1 . r e . n i n . g u
ትሬኒንጉን	t6r5n3n6g2n6	t 1 . r e . n i n . g u n
ትርንጎ	t6r6n6g7	t 1 . r 1 n . g o
ትርኢት	t6r6?3t6	t 1 r . ? i t
ትርጉሙ	t6r6g2m2	t 1 r . g u . m u
ትርፉን	t6r6f2n6	t 1 r . f u n
ትርፌ	t6r6f5	t 1 r . f e
ትሮጡ	t6r7T2	t 1 . r o . t> u
ትሮጣለህ	t6r7T4l1h6	t 1 . r o . t> a l . l @ h
ትሰሚያለሽ	t6s1m3y4l1sh6	t 1 . s @ . m i . j a l . l @ S
ትሰማለቻ	t6s1m4l1c4	t 1 . s @ . m a l . l @ tS . tS a	t 1 s . s @ m . m a l . l @ tS . tS a
ትሰማኛለህ	t6s1m4J4l1h6	t 1 . s @ . m a J . J a l . l @ h	t 1 s . s @ m . m a J . J a l . l @ h
ትሰሪበታለሽ	t6s1r3b1t4l1sh6	t 1 . s @ . r i b . b @ . t a l . l @ S	t 1 s . s @ r . r i b . b @ . t a l . l @ S
ትሰሪዋለሽ	t6s1r3w4l1sh6	t 1 . s @ . r i . w a l . l @ S	t 1 s . s @ r . r i . w a l . l @ S
ትሰራ	t6s1r4	t 1 s . s @ r . r a	t 1 . s @ . r a
ትሰራላችሁ	t6s1r4l4c6h2	t 1 s . s @ r . r a l . l a tS . tS 1 . h u	t 1 . s @ . r a l . l a tS . tS 1 . h u
ትሰራዋለህ	t6s1r4w4l1h6	t 1 s . s @ r . r a . w a l . l @ h	t 1 . s @ . r a . w a l . l @ h
ትሰበራለች	t6s1b1r4l1c6	t 1 s . s @ b . b @ . r a l . l @ tS tS
ትሰበሰብ	t6s1b1s1b6	t 1 s . s @ . b @ s . s @ b
ትሰጠው	t6s1T1w6	t 1 s . s @ t> . t> @ w	t 1 . s @ . t> @ w
ትሰጡናላችሁ	t6s1T2n4l4c6h2	t 1 . s @ . t> u . n a l . l a tS . tS 1 . h u	t 1 s . s @ t> . t> u . n a l . l a tS . tS 1 . h u
ትሰጣላችሁ	t6s1T4l4c6h2	t 1 s . s @ t> . t> a l . l a tS . tS 1 . h u	t 1 . s @ . t> a l . l a tS . tS 1 . h u
ትሰጥሀለች	t6s1T6h1l1c6	t 1 . s @ t> . h a l . l @ tS tS	t 1 s . s @ t> . t> 1 . h a l . l @ tS tS
ትሰጪኛለሽ	t6s1C3J4l1sh6	t 1 s . s @ tS> . tS> i J . J a l . l @ S	t 1 . s @ . tS> i J . J a l . l @ S
ትሰጭኛለሽ	t6s1C6J4l1sh6	t 1 . s @ . tS> 1 J . J a l . l @ S	t 1 s . s @ tS> . tS> 1 J . J a l . l @ S
ትሳደባለህ	t6s4d1b4l1h6	t 1 s . s a d . d @ . b a l . l @ h
ትሳፈራለች	t6s4f1r4l1c6	t 1 s . s a f . f @ . r a l . l @ tS tS
ትስማማለህ	t6s6m4m4l1h6	t 1 s . m a m . m a l . l @ h
ትስማማለች	t6s6m4m4l1c6	t 1 s . m a m . m a l . l @ tS tS
ትስራ	t6s6r4	t 1 s . r a
ትስስሩም	t6s6s6r2m6	t 1 . s 1 s . s 1 . r u m m
ትስስር	t6s6s6r6	t 1 . s 1 s . s 1 r
ትስቃለች	t6s6K4l1c6	t 1 s . k> a l . l @ tS tS
ትስተካከላለህ	t6s6t1k4k1l4l1h6	t 1 s . t @ . k a k . k @ . l a l . l @ h
ትሸርድድ	t6sh1r6d6d6	t 1 . S @ r . d 1 d
ትሸጣለች	t6sh1T4l1c6	t 1 S . S @ . t> a l . l @ tS tS	t 1 . S @ . t> a l . l @ tS tS
ትሸጪልኝ	t6sh1C3l6J6	t 1 . S @ . tS> i l . l 1 J J
ትሸጫለሽ	t6sh1C4l1sh6	t 1 . S @ . tS> a l . l @ S	t 1 S . S @ . tS> a l . l @ S
ትሸፍን	t6sh1f6n6	t 1 . S @ f . f 1 n
ትሻለኛለች	t6sh4l1J4l1c6	t 1 S . S a . l @ J . J a l . l @ tS tS
ትቀልዳላችሁ	t6K1l6d4l4c6h2	t 1 . k> @ l . l 1 . d a l . l a tS . tS 1 . h u
ትቀልጃለሽ	t6K1l6j4l1sh6	t 1 . k> @ l . l 1 . dZ a l . l @ S
ትቀመቅማለች	t6K1m1K6m4l1c6	t 1 . k> @ . m @ k> . k> 1 . m a l . l @ tS tS
ትቀመጥ	t6K1m1T6	t 1 k> . k> @ . m @ t>
ትቀመጫለሽ	t6K1m1C4l1sh6	t 1 k> . k> @ m . m @ . tS> a l . l @ S
ትቀምሻለሽ	t6K1m6sh4l1sh6	t 1 . k> @ m . S a l . l @ S
ትቀረናለች	t6K1r1n4l1c6	t 1 . k> @ . r @ . n a l . l @ tS tS	t 1 . k> @ . r @ n . n a l . l @ tS tS
ትቀሪያለሽ	t6K1r3y4l1sh6	t 1 . k> @ . r i . j a l . l @ S
ትቀራላችሁ	t6K1r4l4c6h2	t 1 . k> @ . r a l . l a tS . tS 1 . h u
ትቀርቢያታለሽ	t6K1r6b3y4t4l1sh6	t 1 . k> @ r . b i . j a . t a l . l @ S
ትቀበላለህ	t6K1b1l4l1h6	t 1 k> . k> @ b . b @ . l a l . l @ h
ትቀበልና	t6K1b1l6n4	t 1 k> . k> @ b . b @ . l 1 n . n a
ትቀበሏታላችሁ	t6K1b1lw4t4l4c6h2	t 1 k> . k> @ b . b @ . lw a . t a l . l a tS . tS 1 . h u
ትቀበያታለሽ	t6K1b1y4t4l1sh6	t 1 k> . k> @ b . b @ . j a . t a l . l @ S
ትቀንሳለህ	t6K1n6s4l1h6	t 1 . k> @ n . n 1 . s a l . l @ h
ትቀየሪያለሽ	t6K1y1r3y4l1sh6	t 1 k> . k> @ j . j @ . r i . j a l . l @ S
ትቀያይሪያለሽ	t6K1y4y6r3y4l1sh6	t 1 . k> @ . j a j . j 1 . r i . j a l . l @ S
ትቀይረው	t6K1y6r1w6	t 1 . k> @ j . j 1 . r @ w
ትቀይሪያለሽ	t6K1y6r3y4l1sh6	t 1 . k> @ j . j 1 . r i . j a l . l @ S
ትቀይር	t6K1y6r6	t 1 . k> @ j . j 1 r
ትቀጥላለች	t6K1T6l4l1c6	t 1 . k> @ t> . t> 1 . l a l . l @ tS tS
ትቀጥል	t6K1T6l6	t 1 . k> @ t> . t> 1 l
ትቁረብ	t6K2r1b6	t 1 . k> u . r @ b
ትቅርብህ	t6K6r6b6h6	t 1 k> . r 1 b . b 1 h
ትቆርጣለች	t6K7r6T4l1c6	t 1 . k> o r . t> a l . l @ tS tS
ትቆያለሀ	t6K7y4l1h1	t 1 . k> o j . j a l . l @ . h a
ትቆያለህ	t6K7y4l1h6	t 1 . k> o j . j a l . l @ h
ትቆያለሽ	t6K7y4l1sh6	t 1 . k> o j . j a l . l @ S
ትቆይ	t6K7y6	t 1 . k> o j j
ትበለኝ	t6b1l1J6	t 1 . b @ . l @ J
